time_bin	final_mean	SEM
1900-01-01 00:00:00	-0.4318659785533015	0.06322853536970788
1900-01-01 00:01:00	-0.4547258894911237	0.10857669804599385
1900-01-01 00:02:00	-0.4643422414007708	0.10846513818237272
1900-01-01 00:03:00	-0.49311702571402294	0.12135397009232383
1900-01-01 00:04:00	-0.5003849932080251	0.11409567927871585
1900-01-01 00:05:00	-0.5052303048706932	0.10925753349210235
1900-01-01 00:06:00	-0.5100508593947982	0.10817228664022012
1900-01-01 00:07:00	-0.5148714139189033	0.1071302868543897
1900-01-01 00:08:00	-0.5197167255815714	0.10230813263685194
1900-01-01 00:09:00	-0.5101498879490504	0.09337879844969292
1900-01-01 00:10:00	-0.5078015035334055	0.08517652011902077
1900-01-01 00:11:00	-0.5150447138888447	0.08140448750894394
1900-01-01 00:12:00	-0.5246858229370547	0.07884288871211836
1900-01-01 00:13:00	-0.5295311345997228	0.07399758767076622
1900-01-01 00:14:00	-0.5319785475696199	0.06798995051887675
1900-01-01 00:15:00	-0.529605406015412	0.06345514430418106
1900-01-01 00:16:00	-0.529654920292538	0.056875139886137537
1900-01-01 00:17:00	-0.5320775761238721	0.05449632363963233
1900-01-01 00:18:00	-0.5345002319552061	0.05212154608180362
1900-01-01 00:19:00	-0.5393455436178743	0.04738653484972517
1900-01-01 00:20:00	-0.5417929565877714	0.04209089028142578
1900-01-01 00:21:00	-0.5417929565877714	0.04209089028142578
1900-01-01 00:22:00	-0.5611742032384438	0.02430611137455676
1900-01-01 00:23:00	-0.5635968590697779	0.022271133835750172
1900-01-01 00:24:00	-0.5757101382264481	0.014077038095085795
1900-01-01 00:25:00	-0.5757101382264481	0.014077038095085795
1900-01-01 00:26:00	-0.5829781057204503	0.012661794173859502
1900-01-01 00:27:00	-0.5901965589373264	0.008532023530302323
1900-01-01 00:28:00	-0.5901965589373264	0.008532023530302323
1900-01-01 00:29:00	-0.5926192147686604	0.009153056142028689
1900-01-01 00:30:00	-0.5853512472746583	0.009276042838906078
1900-01-01 00:31:00	-0.5853512472746583	0.009276042838906078
1900-01-01 00:32:00	-0.5829285914433242	0.010501310736965435
1900-01-01 00:33:00	-0.5780832797806561	0.013926887941929323
1900-01-01 00:34:00	-0.568417413593883	0.020111894347781854
1900-01-01 00:35:00	-0.568417413593883	0.020111894347781854
1900-01-01 00:36:00	-0.5538814786058787	0.03337203295702542
1900-01-01 00:37:00	-0.5199642969672018	0.06642210287199818
1900-01-01 00:38:00	-0.5175416411358679	0.06881511904764417
1900-01-01 00:39:00	-0.5295311345997229	0.07399758767076621
1900-01-01 00:40:00	-0.5415206280635779	0.08064280042064305
1900-01-01 00:41:00	-0.5366753164009098	0.08545122709225603
1900-01-01 00:42:00	-0.5366753164009098	0.08545122709225603
1900-01-01 00:43:00	-0.5366753164009098	0.08545122709225603
1900-01-01 00:44:00	-0.5390732150936808	0.08691118422065848
1900-01-01 00:45:00	-0.5438690124792228	0.08995185886690639
1900-01-01 00:46:00	-0.5486648098647648	0.0931403201074207
1900-01-01 00:47:00	-0.5486648098647648	0.0931403201074207
1900-01-01 00:48:00	-0.5486648098647648	0.0931403201074207
1900-01-01 00:49:00	-0.5486648098647648	0.0931403201074207
1900-01-01 00:50:00	-0.5510627085575358	0.09478533716870796
1900-01-01 00:51:00	-0.5510627085575358	0.09478533716870796
1900-01-01 00:52:00	-0.5510627085575358	0.09478533716870796
1900-01-01 00:53:00	-0.5510627085575358	0.09478533716870796
1900-01-01 00:54:00	-0.5510627085575358	0.09478533716870796
1900-01-01 00:55:00	-0.5510627085575358	0.09478533716870796
1900-01-01 00:56:00	-0.5510627085575358	0.09478533716870796
1900-01-01 00:57:00	-0.5510627085575358	0.09478533716870796
1900-01-01 00:58:00	-0.5534853643888699	0.09243489441470841
1900-01-01 00:59:00	-0.5559080202202039	0.09008827776844844
1900-01-01 01:00:00	-0.5680212993768742	0.0784245883555164
1900-01-01 01:01:00	-0.5752892668708763	0.07149817682885883
1900-01-01 01:02:00	-0.5777119227022104	0.06920494258841157
1900-01-01 01:03:00	-0.5825572343648785	0.0646468036638864
1900-01-01 01:04:00	-0.5922231005516517	0.05983116309908854
1900-01-01 01:05:00	-0.5658462149311706	0.04132365774169026
1900-01-01 01:06:00	-0.5755863525336329	0.024447868360539287
1900-01-01 01:07:00	-0.6071056354795387	0.011602308323030584
1900-01-01 01:08:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:09:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:10:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:11:00	-0.6143736029735408	0.018547245039215468
1900-01-01 01:12:00	-0.6143736029735408	0.018547245039215468
1900-01-01 01:13:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:14:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:15:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:16:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:17:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:18:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:19:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:20:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:21:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:22:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:23:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:24:00	-0.6095282913108727	0.013880584134291694
1900-01-01 01:25:00	-0.5925697004915343	0.005725398426469621
1900-01-01 01:26:00	-0.5925697004915343	0.005725398426469621
