time_bin	animal_1	animal_2	animal_3
00:00:00	-0.33647490645540784	-0.5514569287675902	-0.4076661004369065
00:01:00	-0.2434449225321801	-0.5169271875916878	-0.6038055583495032
00:02:00	-0.25071289002618236	-0.5385082758266269	-0.6038055583495032
00:03:00	-0.25071289002618236	-0.6248326287663832	-0.6038055583495032
00:04:00	-0.2725167925081888	-0.6248326287663832	-0.6038055583495032
00:05:00	-0.2870527274961931	-0.6248326287663832	-0.6038055583495032
00:06:00	-0.29432069499019525	-0.6320263248446962	-0.6038055583495032
00:07:00	-0.3015886624841974	-0.6392200209230092	-0.6038055583495032
00:08:00	-0.3161245974722017	-0.6392200209230092	-0.6038055583495032
00:09:00	-0.3233925649662039	-0.603251540531444	-0.6038055583495032
00:10:00	-0.3379284999542082	-0.581670452296505	-0.6038055583495032
00:11:00	-0.3524644349422125	-0.588864148374818	-0.6038055583495032
00:12:00	-0.36700036993021684	-0.6032515405314441	-0.6038055583495032
00:13:00	-0.38153630491822116	-0.6032515405314441	-0.6038055583495032
00:14:00	-0.3960722399062255	-0.596057844453131	-0.6038055583495032
00:15:00	-0.4033402074002277	-0.581670452296505	-0.6038055583495032
00:16:00	-0.417876142388232	-0.567283060139879	-0.6038055583495032
00:17:00	-0.4251441098822341	-0.567283060139879	-0.6038055583495032
00:18:00	-0.4324120773762363	-0.567283060139879	-0.6038055583495032
00:19:00	-0.44694801236424064	-0.567283060139879	-0.6038055583495032
00:20:00	-0.46148394735224496	-0.560089364061566	-0.6038055583495032
00:21:00	-0.46148394735224496	-0.560089364061566	-0.6038055583495032
00:22:00	-0.5196276873042622	-0.560089364061566	-0.6038055583495032
00:23:00	-0.5268956547982644	-0.560089364061566	-0.6038055583495032
00:24:00	-0.5632354922682752	-0.560089364061566	-0.6038055583495032
00:25:00	-0.5632354922682752	-0.560089364061566	-0.6038055583495032
00:26:00	-0.5850393947502817	-0.560089364061566	-0.6038055583495032
00:27:00	-0.5923073622442838	-0.574476756218192	-0.6038055583495032
00:28:00	-0.5923073622442838	-0.574476756218192	-0.6038055583495032
00:29:00	-0.599575329738286	-0.574476756218192	-0.6038055583495032
00:30:00	-0.5777714272562795	-0.574476756218192	-0.6038055583495032
00:31:00	-0.5777714272562795	-0.574476756218192	-0.6038055583495032
00:32:00	-0.5705034597622773	-0.574476756218192	-0.6038055583495032
00:33:00	-0.555967524774273	-0.574476756218192	-0.6038055583495032
00:34:00	-0.5341636222922665	-0.567283060139879	-0.6038055583495032
00:35:00	-0.5341636222922665	-0.567283060139879	-0.6038055583495032
00:36:00	-0.4905558173282536	-0.567283060139879	-0.6038055583495032
00:37:00	-0.3888042724122233	-0.567283060139879	-0.6038055583495032
00:38:00	-0.3815363049182212	-0.567283060139879	-0.6038055583495032
00:39:00	-0.3815363049182212	-0.6032515405314441	-0.6038055583495032
00:40:00	-0.3815363049182212	-0.6392200209230092	-0.6038055583495032
