time_bin	animal_1	animal_2	animal_3	animal_4	animal_5	animal_6	animal_7	animal_8	animal_9	animal_10	animal_11	animal_12	animal_13	animal_14	animal_15	animal_16	animal_17	animal_18	animal_19	animal_20	animal_21	animal_22	animal_23	animal_24	animal_25	animal_26	animal_27	animal_28	animal_29	animal_30	animal_31	animal_32
00:00:00	-0.3364749064554079	-0.5514569287675872	-0.40766610043690754	0.09912330788027854	-0.6513215524360945	-0.5639341101605627	-0.6368458899721012	-0.6107825746497569	-0.4122609063846049	-0.5856757869449046	-0.6216570894669333	-0.3282546651001009	-0.46583714269685716	-0.7252889309206242	-0.5196403147886894	-0.688992183651228	-0.7692349167193547	-0.49197970783440165	-1.0602558052737505	0.33659923332390373	-0.526395562729452	-0.618908714007632	-1.0619740921428993	0.8045832863496033	0.4944094998502577	-0.4615180281804568	0.24997668302793402	-1.0138353668418725	0.0487348457352937	-0.5460679910562103	0.30851010266635953	-1.1570220992953781
00:01:00	-0.24344492253218017	-0.516927187591685	-0.6038055583495048	0.26236231853470493	-0.6513215524360945	-0.5494222654051719	-0.6442939187261498	-0.6136050368074146	-0.3503927400863682	-0.5206256828944824	-0.7492952103919147	-0.2203828000718114	-0.4417650092741117	-0.7056437265789249	-0.3814132255630691	-0.688992183651228	-0.7239441416055199	-1.1690645310885426	-0.9916782914316613	-0.8521308827257855	-0.7164115979940371	-0.46516129608736007	-1.051751633021096	0.9567852112157305	0.0504202931566905	-0.2809018888470052	0.19475958006620459	-0.9704989749889015	-0.13004618266071305	-0.42009871127828197	0.3913491701731182	-1.101602881790296
00:02:00	-0.2507128900261824	-0.538508275826624	-0.6038055583495048	0.23156250520368105	-0.6513215524360945	-0.5494222654051719	-0.6442939187261498	-0.6206611922015587	-0.38353640060328076	-0.5206256828944824	-0.7492952103919147	-0.24467826516827304	-0.47343886904088195	-0.7056437265789249	-0.45459227280016223	-0.688992183651228	-0.7239441416055199	-1.1750247848143713	-0.9916782914316613	-0.8521308827257855	-0.759043400777758	-0.49022880987870876	-1.051751633021096	0.992457537356229	0.08608207682685662	-0.2725400305445305	0.1632069498023592	-0.9704989749889015	-0.12063665485039693	-0.40454694834273525	0.3013067054918587	-1.101602881790296
00:03:00	-0.2507128900261824	-0.6248326287663797	-0.6038055583495048	0.22386255187092508	-0.6513215524360945	-0.5494222654051719	-0.6591899762342468	-0.6206611922015587	-0.40563217428122245	-0.5206256828944824	-0.7227039351992102	-0.2738328232840269	-0.49877795685429815	-0.7056437265789249	-0.5440333305343871	-0.688992183651228	-0.7239441416055199	-1.1869452922660286	-0.8996840655459322	-0.8521308827257855	-0.9661121571558315	-0.4400937822960114	-1.051751633021096	0.9924575373562292	0.09499752274439816	-0.28090188884700507	0.17898326493428188	-0.9366424188537679	-0.13004618266071305	-0.3967710668749619	0.3013067054918587	-1.101602881790296
00:04:00	-0.27251679250818883	-0.6248326287663797	-0.6038055583495048	0.16996287854163336	-0.6513215524360945	-0.5560185584758042	-0.6666380049882953	-0.6206611922015587	-0.4111561177007078	-0.5206256828944824	-0.7014309150450466	-0.3029873813997808	-0.5304518166210684	-0.7056437265789249	-0.5684263462800848	-0.688992183651228	-0.7239441416055199	-1.1750247848143713	-0.8662316197693033	-0.8521308827257855	-0.9843829297774263	-0.4400937822960114	-1.051751633021096	1.0281298634967277	0.08608207682685662	-0.264178172242056	0.32885825868754737	-0.9298711076267412	-0.12063665485039682	-0.3423398966005484	0.29230245902373275	-1.101602881790296
00:05:00	-0.28705272749619315	-0.6248326287663797	-0.6038055583495048	0.1468630185433654	-0.6513215524360945	-0.5560185584758042	-0.6666380049882953	-0.6206611922015587	-0.41668006112019323	-0.5206256828944824	-0.6748396398523422	-0.32242375347695007	-0.5684604483411927	-0.7056437265789249	-0.6009503672743484	-0.688992183651228	-0.7239441416055199	-1.1631042773627138	-0.8829578426576177	-0.8521308827257855	-0.972202414696363	-0.4400937822960114	-1.051751633021096	1.0281298634967275	0.1484901982496472	-0.15547401430988608	0.31308194355562463	-0.882471929037554	-0.0735890157988161	-0.3190122521972284	0.28329821255560683	-1.101602881790296
00:06:00	-0.29432069499019536	-0.6320263248446927	-0.6038055583495048	0.1314631118778535	-0.6513215524360945	-0.5560185584758042	-0.6666380049882953	-0.6206611922015587	-0.44429977821762034	-0.5206256828944824	-0.6482483646596378	-0.33700103253482705	-0.600134308107963	-0.7056437265789249	-0.6172123777714802	-0.688992183651228	-0.7239441416055199	-1.1631042773627138	-0.8996840655459322	-0.8521308827257855	-0.9539316420747683	-0.4400937822960114	-1.051751633021096	1.05191141425706	0.1752365360022718	-0.16383587261236066	0.297305628423702	-0.8621579953564737	-0.07358901579881622	-0.311236370729455	0.3193151984281105	-1.101602881790296
00:07:00	-0.30158866248419747	-0.6392200209230057	-0.6038055583495048	0.11606320521234158	-0.6513215524360945	-0.5560185584758042	-0.6666380049882953	-0.6206611922015587	-0.4608716084760766	-0.5206256828944824	-0.6216570894669333	-0.3661555906505809	-0.6254733959213792	-0.7056437265789249	-0.6253433830200461	-0.688992183651228	-0.7239441416055199	-1.139263262459399	-0.8662316197693034	-0.8521308827257855	-0.886938809128921	-0.40667043057421315	-1.051751633021096	1.1351468419182233	0.21981376558997934	-0.24745445563710672	0.439292464611006	-0.8621579953564737	-0.04536043236786769	-0.3267881336650017	0.13022602259746563	-1.101602881790296
00:08:00	-0.3161245974722018	-0.6392200209230057	-0.6038055583495048	0.08526339188131771	-0.6513215524360945	-0.5560185584758042	-0.6666380049882953	-0.6206611922015587	-0.4940152689929891	-0.533901214333344	-0.5950658142742289	-0.3807328697084579	-0.6508124837347953	-0.7056437265789249	-0.633474388268612	-0.688992183651228	-0.7239441416055199	-1.1333030087335703	-0.8411422854368317	-0.8521308827257855	-0.8625777789667948	-0.3231120512697176	-1.051751633021096	1.111365291157891	0.2643909951776868	-0.22236888072968297	0.46295693730889	-0.8553866841294471	-0.05476996017818392	-0.2490293189872681	0.04918780438433218	-1.101602881790296
00:09:00	-0.323392564966204	-0.6032515405314407	-0.6038055583495048	0.03906367188478202	-0.6513215524360945	-0.5560185584758042	-0.6666380049882953	-0.641829658383991	-0.5161110426709308	-0.533901214333344	-0.5631562840429835	-0.4098874278242117	-0.6634820276415034	-0.693365473865363	-0.6416053935171779	-0.688992183651228	-0.7239441416055199	-1.1094619938302555	-0.8495053968809889	-0.8521308827257855	-0.8382167488046685	-0.2646211857565706	-1.051751633021096	1.040020638876894	0.4248690216934341	-0.28926374714947983	0.5102858827046581	-0.7605883269510729	-0.06417948798849993	-0.22570167458394802	0.013170818511828455	-1.124070132130194
